id_inmueble,tipo,titulo,calle,barrio,zona,ciudad,localizacion,precio,precio_metro,caracteristicas,habitaciones,m_construidos,m_utiles,baños,referencia,anunciante,nombre,ultima_atualizacion,tlf,url,fecha,ultima_actualizacion,URL
106285262,Venta,Piso en venta en Espinardo,,Barrio Espinardo,Norte,Murcia,"Barrio Espinardo, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia","$128,000.00",1.829 €/m²,"['70 m² construidos, 66 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Con ascensor']",2 habitaciones,,,1 baño,4034,Profesional,Soler Inmobiliaria soler,,,,2024-10-18 16:00:29,Anuncio actualizado el 16 de octubre,https://www.idealista.com/inmueble/106285262/
106277856,Venta,"Piso en venta en Colonia San Mateo, 4",,Barrio La Alberca,Este,Murcia,"Colonia San Mateo, 4, Barrio La Alberca, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia","$52,000.00",536 €/m²,"['97 m² construidos, 82 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Construido en 1977', 'Planta 1ª exterior', 'Sin ascensor']",3 habitaciones,,,1 baño,106277856,Profesional,Urbitanea,,,,2024-10-18 16:00:29,Anuncio actualizado el 16 de octubre,https://www.idealista.com/inmueble/106277856/
106269697,Venta,Piso en venta en El Carmen,,Barrio El Carmen,Sur,Murcia,"Barrio El Carmen, Distrito Sur, Murcia, Área de Murcia, Murcia","$156,000.00",1.418 €/m²,"['110 m² construidos, 100 m² útiles', '4 habitaciones', '2 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, este', 'Construido en 1986', 'Calefacción individual', 'Planta 3ª exterior', 'Con ascensor']",4 habitaciones,,,2 baños,12217AD,Profesional,VIVENTA GRUPO INMOBILIARIO,,,,2024-10-18 16:00:29,Anuncio actualizado el 17 de octubre,https://www.idealista.com/inmueble/106269697/
106269803,Venta,Ático en venta en avenida Don Juan de Borbón,Avenida Don Juan de Borbón,Barrio Zona Juan de Borbón,Norte,Murcia,"Avenida Don Juan de Borbón, Barrio Zona Juan de Borbón, Distrito Norte, Murcia, Área de Murcia, Murcia","$359,000.00",2.051 €/m²,"['175 m² construidos', '4 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción individual: Bomba de frío/calor', 'Solo interior de la vivienda adaptado para personas con movilidad reducida', 'Planta 8ª exterior', 'Con ascensor']",4 habitaciones,,,3 baños,106269803,Profesional,NORE,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106269803/
106296811,Venta,Piso en venta en San Andrés-San Antolín,,Barrio San Andrés-San Antolín,Centro,Murcia,"Barrio San Andrés-San Antolín, Distrito Centro, Murcia, Área de Murcia, Murcia","$140,000.00",1.573 €/m²,"['89 m² construidos, 79 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Planta 4ª']",2 habitaciones,,,1 baño,N-941,Profesional,Netek,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106296811/
106296058,Venta,Piso en venta en El Esparragal,,Barrio El Esparragal,Norte,Murcia,"Barrio El Esparragal, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia","$120,000.00",1.412 €/m²,"['85 m² construidos, 70 m² útiles', '2 habitaciones', '1 baño', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este, oeste', 'Construido en 2008', 'Calefacción central', 'Planta 4ª exterior', 'Con ascensor']",2 habitaciones,,,1 baño,41685,Profesional,ALQUILOTUCASA MURCIA1,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106296058/
106297387,Venta,Chalet pareado en venta en calle las Oliveras,Calle las Oliveras,Barrio Sucina,,Murcia,"Calle las Oliveras, Barrio Sucina, Distrito Campo de Murcia, Murcia, Área de Murcia, Murcia","$142,300.00",1.564 €/m²,"['Chalet pareado', '3 plantas', '91 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado']",3 plantas,,,91 m² construidos,C1-00034-0001,Profesional,solvia inmobiliaria,,,,2024-10-18 16:00:29,Anuncio actualizado el 17 de octubre,https://www.idealista.com/inmueble/106297387/
106296118,Venta,Chalet adosado en venta en calle Hermanos Serrano Tortajada,Calle Hermanos Serrano Tortajada,Barrio Zona Juan Carlos I,Norte,Murcia,"Calle Hermanos Serrano Tortajada, Barrio Zona Juan Carlos I, Distrito Norte, Murcia, Área de Murcia, Murcia","$420,000.00",1.235 €/m²,"['Chalet adosado', '3 plantas', '340 m² construidos, 300 m² útiles', '5 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación norte, sur, este']",3 plantas,,,"340 m² construidos, 300 m² útiles",106296118,Profesional,INVERSUS CORPORATE FINANCE S.L,,,,2024-10-18 16:00:29,Anuncio actualizado el 17 de octubre,https://www.idealista.com/inmueble/106296118/
106278343,Venta,Piso en venta en La Alberca,,Barrio La Alberca,Este,Murcia,"Barrio La Alberca, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia","$235,000.00",1.880 €/m²,"['125 m² construidos', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1986', 'No dispone de calefacción', 'Sin ascensor']",4 habitaciones,,,2 baños,PR00620,Profesional,Carmen Blanco Inmobiliaria,,,,2024-10-18 16:00:29,Anuncio actualizado el 16 de octubre,https://www.idealista.com/inmueble/106278343/
106234351,Venta,Chalet adosado en venta en Buenos Aires,,Barrio La Ñora,Este,Murcia,"Buenos Aires, Barrio La Ñora, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia","$125,000.00",833 €/m²,"['Chalet adosado', '3 plantas', '150 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este, oeste', 'Construido en 1986', 'No dispone de calefacción']",3 plantas,,,150 m² construidos,REFORMA CREATIVA,Profesional,ANOVA HOMES - Inmobiliaria en Murcia,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106234351/
106298673,Venta,Casa o chalet en venta en Jerónimo y Avileses,,Barrio Jerónimo y Avileses,,Murcia,"Barrio Jerónimo y Avileses, Distrito Campo de Murcia, Murcia, Área de Murcia, Murcia","$442,000.00",1.922 €/m²,"['Casa o chalet', '230 m² construidos', '3 habitaciones', '2 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur']",230 m² construidos,,,3 habitaciones,AZURE,Profesional,Marhen Inmobiliaria,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106298673/
106296198,Venta,Piso en venta en Zona Juan de Borbón,,Barrio Zona Juan de Borbón,Norte,Murcia,"Barrio Zona Juan de Borbón, Distrito Norte, Murcia, Área de Murcia, Murcia","$295,000.00",2.438 €/m²,"['121 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Planta 4ª exterior', 'Con ascensor']",3 habitaciones,,,2 baños,N-997,Profesional,Netek,,,,2024-10-18 16:00:29,Anuncio actualizado el 17 de octubre,https://www.idealista.com/inmueble/106296198/
106286213,Venta,Piso en venta en Guadalupe,,Barrio Guadalupe,Este,Murcia,"Barrio Guadalupe, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia","$72,900.00",1.195 €/m²,"['61 m² construidos, 56 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Trastero', 'Construido en 2010', 'No dispone de calefacción', 'Planta 2ª exterior', 'Con ascensor']",2 habitaciones,,,1 baño,30-JERONIMOS,Profesional,González Esparza,,,,2024-10-18 16:00:29,Anuncio actualizado el 17 de octubre,https://www.idealista.com/inmueble/106286213/
